Neuron,NonNeuronal
2700097O09Rik,2610301B20Rik
AI593442,A2m
AI606473,A2m
Ccdc184,AA387883
AU022754,AI182371
AW551984,AI450353
Cep170b,Myorg
Aars2,AI507597
Abca5,AI987944
Abcc8,Fam216b
Ablim3,AU041133
Abracl,AV051173
Acbd7,AW011738
Asic5,AW146154
Ache,Aass
Acr,Abat
Acsl4,Abcb9
Acta1,Abcc12
Actl6b,Abcc8
Adamts14,Abcd2
Adamts15,Abcd3
Adamts17,Abhd1
Adar,Abhd3
Adarb1,Abhd4
Adarb2,Abr
Gadl1,Acaa2
Adcy1,Acad11
Adcy8,Acad12
Adcyap1,Acadl
Adnp,Acadm
Adprhl1,Acadsb
Adra2c,Acadvl
Tle5,Acot1
Afap1,Acot11
Aff2,Acot2
Aff3,Acot5
Agbl4,Acox1
Agtpbp1,Acsbg1
Agtr2,Acsf2
Ahdc1,Acsl6
Ahi1,Acss1
Ahsa2,Acss2
Ajap1,Actr3b
Akap8l,Acvr1c
Akap9,Acyp2
Akr1b8,Adamts19
Alkbh8,Adamts3
Allc,Adamts5
Aloxe3,Adamts6
Amigo1,Adcy2
Ammecr1l,Adcy8
Amy1,Adcyap1r1
Angpt1,Add3
Ankhd1,Adhfe1
Ankrd24,Adk
Ankrd34a,Adora2b
Ankrd34b,Adra2a
Ankrd35,Grk3
Ankrd42,Aff1
Ankrd45,Agbl2
Ankrd50,Agfg2
Ankrd55,Agl
Ano5,Agpat3
Aox4,Agpat5
Ap1ar,Agrn
Ap3b2,Agt
Apba1,Ahcyl1
Apc2,Ahcyl2
Peg3os,Aifm3
Arfrp1,Ak4
Arg2,Ak7
Arhgap15,Akt2
Arhgap36,Aldh1a1
Arhgap39,Aldh1a2
Arhgap44,Aldh1l1
Arhgdig,Aldh4a1
Arid1b,Aldh5a1
Arid2,Aldh6a1
Arid4b,Aldh7a1
Arl13b,Aldoc
Armc2,Alms1
Armcx1,Alms1-ps2
Armcx4,Alpk1
Armcx5,Alpk3
Arx,Alpl
Asb3,Als2cl
Asgr1,Amer2
Asphd1,Amigo3
Ass1,Amot
Atad2b,Ampd2
Atad5,Amt
Atf2,Ank2
Atg9b,Ankrd16
Atl1,Ankrd40
Atn1,Ankrd9
Atp1a3,Zfand4
Atp2b1,Anxa9
Atp2b2,Aox1
Atp6ap1l,Ap4e1
Atp6v0a1,Apoe
Atp6v1g2,Appl2
Aurkb,Aqp4
Auts2,Aqp9
Avp,Arap2
B3galt1,Arhgap21
B3galt2,Arhgap26
B3gnt4,Arhgap32
B4galnt4,Arhgap42
B4galt6,Arhgap5
Plppr3,Arhgef12
BC021767,Arhgef18
BC024139,Arhgef26
BC030500,Arhgef33
Prr36,Arhgef4
Selenov,Arid4a
Bag4,Arl9
Baiap2l2,Arnt2
Baiap3,Arntl
Barhl2,Arntl2
Basp1,Arrdc3
Baz1b,Aspa
Baz2b,Aspg
Bcl11a,Ass1
Bcl11b,Aste1
Bcl7a,Asxl2
Bcl9,Atad2b
Begain,Atf7
Bend6,Pgghg
Bex1,Atl2
Bex2,Atp13a4
Bhlhe22,Atp1a2
Blcap,Atp1b2
Bmp5,Atp2b4
Bod1,Atr
Bpifa1,Atxn7
Brd1,Axin2
Brd2,Axl
Brd3,B4gat1
Brd7,BC006965
Brd8,BC016579
Brsk1,BC037032
Brsk2,BC064078
Bsn,Baalc
Btbd11,Bag3
C1qtnf1,Adgrb3
C1qtnf4,Bbox1
C2cd2l,Bcan
C3,Bcar3
Cip2a,Bckdha
Fam8a1,Bcl2
Caap1,Bcl2l12
Cabp7,Bcl2l15
Cabyr,Bdh2
Cacna1a,Bdkrb2
Cacna1b,Bdnf
Cacna1i,Bhlhe40
Cacna2d1,Bmpr1a
Cacna2d2,Bmpr1b
Cacna2d3,Bms1
Cacnb2,Boc
Cacnb3,Bola3
Cacnb4,Btaf1
Cacng2,Btbd17
Cacng3,Btd
Cacng5,C2cd4b
Cadm3,C4a
Cadps,C4b
Cadps2,Car2
Calb1,Car3
Calb2,Car5b
Calca,Calr4
Calm2,Camk2g
Caln1,Cap2
Caly,Capn11
Camk2a,Capns1
Camk2b,Caps2
Camk2n2,Capsl
Camk4,Capzb
Camkv,Car3
Camsap1,Car5b
Camta1,Car8
Car10,Caskin1
Casd1,Caskin2
Casp2,Casp8ap2
Casp3,Cat
Casz1,Catsper2
Cbln1,Cblb
Cbln2,Cbr3
Cbln4,Cbs
Cbx2,Cbx5
Cbx4,Kyat3
Cbx6,Cfap65
Cbx7,Ccdc113
Cc2d1a,Ccdc121
Ccbe1,Ccdc138
Mcub,Ccdc157
Ccdc116,Ccdc18
Ccdc120,Ccdc3
Ccdc148,Cfap100
Ccdc152,Ccdc60
Ccdc177,Deup1
Ccdc30,Ccdc80
Cep112,Ccdc84
Ccdc6,Ccdc88c
Bicdl1,Ccdc90b
Ccdc71l,Ccdc96
Ccdc73,Ccna1
Ccdc85c,Ccnd2
Cck,Ccno
Ccl27a,Ackr4
Ccl27b,Cd247
Ccnb1,Cd38
Ccnf,Cd44
Ccnt1,Cdc42ep1
Ccsap,Cdc42ep4
Cd164l2,Cdh2
Cd200,Cdk11b
Cd24a,Cdk5rap2
Cd274,Cecr2
Cd2bp2,Hdhd5
Cdc40,Celsr1
Cdh12,Ccp110
Cdh18,Cep350
Cdh4,Chd2
Cdh7,Chd6
Cdh8,Chd9
Cdh9,Chpt1
Cdhr1,Chrdl1
Cdk13,Chst1
Cdk2ap1,Chst2
Cdk5r1,Chsy1
Cdk5r2,Cideb
Cdkl1,Ckap5
Cdkl2,Ckm
Cdkl4,Clcc1
Cdkn1b,Cldn10
Cdon,Cldn20
Cdr1,Clec16a
Cds1,Clk2
Ceacam16,Clu
Celf3,Clybl
Celf4,Cmbl
Celf5,Nat8f1
Celf6,Nat8f2
Celsr2,Nat8f3
Celsr3,Nat8f5
Cend1,Cmya5
Cenpc1,Cnn1
Cep104,Cnn3
Cep120,Cntd1
Cep170,Cntfr
Cep170b,Col4a5
Cggbp1,Coprs
Cgn,Coro2b
Cgref1,Cox10
Chac1,Cox6b1
Chaf1a,Cpe
Chaf1b,Cpm
Champ1,Cpt1a
Chat,Cpt2
Chchd10,Crb2
Chd3,Creb3l4
Chd5,Crot
Chd6,Crtc3
Chd7,Crym
Chd8,Csdc2
Chd9,Csgalnact1
Chgb,Cspp1
Chn1,Csrp1
Chodl,Cst3
Chrm3,Ctbp2
Chrm4,Ctdspl
Chrm5,Cth
Chrna3,Ctnnbip1
Chrna7,Ctnnd2
Chrnb2,Cul7
Chrnb4,Cwc22
Chsy3,Cwf19l2
Cib2,Cybrd1
Cidea,Cyp1b1
Cilp,Cyp2j9
Cirbp,Cyp4f14
Cit,Cyp4f15
Cited2,Cyp4f16
Ckmt1,Cyp4f17
Clcn1,Cyp4f37
Tmem114,Cyp7b1
Cldn3,Ccn1
Clk4,Zfp267
Clrn1,Daam2
Clstn1,Dag1
Clstn2,Dagla
Clstn3,Dbi
Clvs1,Dbx2
Clvs2,Dclk1
Cmss1,Dclk2
Cnfn,Dctn1
Cnga3,Ddb2
Cnih2,Ddhd1
Cnih3,Ddit4l
Cnksr2,Ddo
Cnnm1,Ddr2
Cnr1,Ddt
Cnrip1,Decr1
Cnst,Dennd4c
Cntn2,Dgkb
Cntn3,Dhcr7
Cntn5,Dhrs1
Cntnap1,Dhrs4
Cntnap2,Dhtkd1
Cntnap3,Dhx32
Cntnap4,Dio2
Cntnap5a,Dlg5
Cntnap5c,Dlgap1
Coch,Dlk1
Col19a1,Dmd
Col23a1,Dmp1
Col24a1,Dnaic1
Col25a1,Dnajc25
Col6a2,Dnali1
Col6a4,Dock1
Cort,Dpf3
Cox7a1,Dpy19l3
Cpeb1,Drp2
Cpeb3,Dtna
Cplx1,Dync2h1
Cplx2,Dynlrb2
Cpne4,Dzip1l
Cpne5,Ech1
Cpne6,Echdc1
Cpne7,Echdc2
Cpne9,Echdc3
Crabp1,Eci2
Crabp2,Edil3
Crh,Ednrb
Crhbp,Eea1
Crhr2,Eepd1
Crmp1,Efhd1
Csnk1e,Efna4
Csrnp2,Egf
Cstf2t,Egfl6
Ctcf,Egfr
Ctif,Ehbp1
Ctxn2,Ehhadh
Cx3cl1,Eif2s3y
Cxcl12,Eif4g3
Cxxc4,Elf5
Cyb561,Elmo2
Cygb,Elmo3
Cyp2s1,Elovl2
Cyp46a1,Elovl5
Cyp4b1,Emp2
Cyp4x1,Enkur
Nrep,Entpd2
Arfgef3,Epb41l5
Plppr4,Ephb3
Dab2ip,Ephx2
Dach1,Erbb2
Dact1,Erbin
Dapk1,Etaa1
Ackr1,Etfa
Daxx,Etfdh
Dbn1,Evc
Dbndd1,Evc2
Dcaf7,Evi5
Dck,Exd1
Dclk3,Ezr
Dcp1a,F3
Dcx,Fabp5
Deptor,Fabp7
Dgke,Fads2
Dgkg,Fam117a
Dgkk,Fam120c
Dhx57,Fam135a
Diablo,Fam13c
Diras1,Fam168a
Diras2,Fam171b
Disp2,Fam181a
Dkkl1,Fam181b
Dlg2,Fam184a
Dlg3,Fam187a
Dlgap2,Fam193b
Dlx1,Mcrip2
Dlx1as,Gask1a
Dlx2,Fam20a
Dlx5,Prxl2a
Dlx6,Nxpe4
Dlx6os2,Garem1
Dlx6os1,Garem2
Dmrt3,Fam76b
Dmrta2,Fam83b
Dmxl2,Fars2
Dnah1,Fat1
Dnajb6,Fbp2
Dnajc27,Fbxl21
Dnajc6,Fbxo2
Dnajc9,Fdft1
Dner,Fga
Dnm1,Fgd4
Dnmt3a,Fgd6
Doc2a,Fgf1
Doc2b,Fgf2
Cbarp,Fgfbp3
Dpysl3,Fgfr1
Dpysl5,Cep43
Drd1,Fgfr2
Drd2,Fgfr3
Drd5,Fhl1
Dsg1a,Ficd
Dsp,Vegfd
Dusp14,Fjx1
Dusp4,Fkbp9
Dusp8,Flnc
Dut,Flot2
Dync1i1,Fmn2
Dzank1,Fmo1
Ebf2,Fmo4
Ebf3,Fndc5
Ecel1,Folh1
Eef1a2,Fos
Efcab6,Fosb
Micu3,Foxr2
Efhc2,Foxred1
Efna3,Fras1
Efna5,Frem2
Ehbp1,Frmpd1
Ehmt1,Cmtr2
Ehmt2,Fut9
Eif2ak3,Fxyd1
Eif4enif1,Fzd10
Elavl2,Fzd2
Elavl4,Gabbr1
Elf2,Gabbr2
Elmod1,Gabpb2
Emc9,Gabra4
Eml5,Gabrb1
Emsy,Gabrg1
Emx2,Gadd45g
Eno2,Galnt4
Enox1,Gas1
Entpd3,Gcdh
Eomes,Gcnt4
Ep400,Gcsh
Epb41l4b,Gdpd2
Dmtn,Gfap
Epb41l4b,Ggnbp1
Epc2,Gja1
Epha10,Gjb6
Epha3,Glb1l
Epha6,Gldc
Epha7,Gli1
Epha8,Gli2
Ephb2,Gli3
Ephb6,Glis3
Epm2aip1,Glud1
Erc2,Glul
Eri1,Glycam1
Ero1b,Gm20441
Esrrg,Gm5424
Exosc4,Gnao1
Eya2,Golgb1
Ezh2,Gpam
Fabp3,Gpatch2
Ramac,Gpc4
Tcaf1,Gpc6
Fam117b,Gpd2
Fam120b,Gpm6a
Amer3,Gpm6b
Fam131a,Gpr156
Fam131c,Gpr179
C1qtnf12,Gpr19
Alkal2,Gpr3
Emc9,Gpr37l1
Shisal2b,Ptgdr2
Fam163b,Adgrg1
Zc2hc1a,Gpr63
Fam171a2,Gprc5d
Fam183b,Gpt
Fam184b,Gpt2
Fam185a,Gpx8
Fam189b,Gramd4
Insyn2a,Greb1
Fam43b,Grhl1
Tlcd3b,Grifin
Ripor2,Grin2c
Fam71e1,Grm3
Fam78b,Grm5
Fam89b,Gsg1l
Fank1,Gstk1
Fastkd5,Gstm1
Fat2,Gstm5
Fat3,Gstt1
Fbll1,Gstz1
Fbxl16,Gucy1a1
Fbxl19,Gulp1
Fbxl2,Gk
Fbxo30,Large2
Fbxo41,Gys1
Fchsd1,Hacl1
Fgf13,Hadh
Fgf9,Hadha
Fibcd1,Hapln1
Fibin,Hectd2
Fkbp11,Hepacam
Fkbp1b,Herc6
Fkbp3,Hes5
Flrt3,Hey2
Flywch1,Hgf
Flywch2,Hhipl1
Fmn1,Hif3a
Fnbp1l,Higd1a
Fnbp4,H3c1
Fndc3b,H3c6
Foxg1,Hmgcr
Foxj3,Hmgn1
Foxk2,Hmgn3
Foxo3,Hoga1
Foxo6,Rida
Foxp2,Hs3st3a1
Frat1,Hs3st3b1
Frmpd3,Hsd11b1
Frmpd4,Hsdl2
Fsip1,Hspa2
Fstl4,Htra1
Fut7,Hyal1
Fxyd2,Id3
Fxyd7,Id4
Gabra1,Idi1
Gabra5,Ift122
Gabrb2,Ift140
Gabrg2,Igdcc4
Gabrg3,Igf2bp3
Gad1,Igfbp2
Gad2,Igfbp5
Galnt9,Igsf1
Galntl6,Ikbip
Galr1,Il15ra
Galr2,Il17rd
Gap43,Il18
Gar1,Il33
Garnl3,Il6st
Castor2,Immt
Gbx2,Impa2
Gca,Impg2
Gcgr,Inca1
Gda,Ino80d
Gdap1,Inpp5j
Gdap1l1,Insig1
Gdf5,Intu
Gdi1,Iqcd
Gdnf,Iqck
Gdpd1,Iqub
Gemin7,Irs1
Gfra4,Irs2
Ghsr,Itga2
Gipc2,Itga6
Gipr,Itga7
Gjd2,Itih3
Glb1l2,Itih5
Glce,Itm2c
Gle1,Itpkb
Glis1,Itsn1
Glod5,Ivd
Glra2,Iyd
Glra3,Jak1
Gm10767,Jam2
Gm6104,Jun
Gnaq,Kalrn
Gnaz,Kank2
Gng2,Kbtbd11
Gng3,Kcnc4
Gnl3l,Kcne1l
Gnrh1,Kcnj10
Golga7b,Kcnn2
Gpc1,Kcnn3
Gpr101,9530068E07Rik
Gpr12,Kctd14
Adgra1,Kctd5
Gpr135,Kdm5d
Gpr139,Myorg
Gpr149,Kidins220
Gpr151,Kif18a
Gpr173,Kif1b
Gpr21,Kif1c
Gpr22,Kif24
Gpr26,Kirrel2
Gpr27,Klf15
Gpr52,Klf4
Gpr6,Klhdc8b
Gpr61,Klhl25
Adgrg2,Klri1
Gpr83,Krtap7-1
Gpr88,L2hgdh
Gprasp1,L3hypdh
Gprasp2,L3mbtl3
Gprin1,
Gprin3,
Gpsm1,Lama2
Gpx2-ps1,Lats1
Gramd1a,Lca5
Gramd1b,Lcat
Greb1l,Lclat1
Grem2,Ldoc1
Gria1,Lenep
Grid2ip,Leng8
Grin1,Leng9
Grin2a,P3h1
Grin2b,Lgals12
Grin2d,Lgals4
Grip2,Lgalsl
Grm1,Lgi4
Grm2,Lgr4
Grm7,Lgr6
Grm8,Lhcgr
Grpr,Lhfp
Gsc,Lifr
Gse1,Limch1
Gtf2e1,Limd1
Gucy1a2,Lingo1
Gxylt2,Lipg
H1f10,Lipt1
H2-M5,Lix1
Has3,Lonrf3
Haus3,Loxl1
Hcn1,Lpin3
Hcn3,Lpp
Hcn4,Lrch3
Hcrtr2,Lrig1
Hdgfl3,Lrp4
Hdx,Carmil1
Mroh7,Lrrc23
Hecw1,Lrrc38
Hells,Lrrc52
Hexim2,Lrrc8a
Hfm1,Lrrc9
Hirip3,Lrrk2
Hmg20a,Lrtm2
Hmgb3,Ltbp1
Jpt1,Lxn
Hnrnpa1,Lyrm4
Homer2,Macf1
Hook1,Magt1
Hook2,Malat1
Hp,Mamdc2
Hpca,Mamdc4
Hrh3,Maob
Hrk,Map2
Hs3st5,Map4
Hs3st6,Mapk4
Hs6st3,Mtarc2
Hspa12a,Mars2
Htr1a,Masp2
Htr1b,Mast4
Htr1d,Mavs
Htr1f,Mboat2
Htr2c,Mcc
Htr3a,Mcee
Htr7,Mdm4
Hyls1,Mdn1
Ica1l,Med12
Ids,Med12l
Igf1,Med7
Igf2bp2,Megf10
Igf2r,Meis1
Igfbpl1,Mettl11b
Ighm,Mfap3l
Ighv1-31,Mfge8
Igkc,Mga
Igsf3,Mgst1
Igsf8,Mical1
Igsf9,Micall2
Il12a,Mid1ip1
Il1rapl2,Mier3
Ina,Mink1
Incenp,Mir467f
Ing1,Mks1
Inha,Mlc1
Inpp5f,Kmt2c
Inpp5j,Mmab
Insl5,Mmd2
Insm1,Mmp14
Insm2,Morc3
Insrr,Mpc1
Ipcef1,Mpdz
Ipw,Mpp5
Iqcb1,Mpp6
Iqsec3,Mras
Irs1,Msi2
Irs4,Msx2
Irx2,Mt2
Isl1,Mt3
Islr,Map7d3
Islr2,Mterf1a
Isoc1,Mterf4
Nmrk2,Mthfd1
Itgbl1,Tesmin
Itpka,Mtm1
Jakmip1,Mtmr11
Jph4,Mtx3
Kalrn,Muc1
Kat5,Mup6
Kazald1,Mmut
Kcna4,Myh11
Kcnb2,Myh14
Kcnc1,Myh15
Kcnc2,Myh6
Kcng1,Mylk2
Kcng3,Myo10
Kcnh1,Myo19
Kcnh4,Myo6
Kcnh7,Myom3
Kcnip2,Myrip
Kcnip4,Naa16
Kcnj11,Nacc2
Kcnj3,Nadk
Kcnj5,Nadk2
Kcnk9,Naprt
Kcnmb2,Naprt
Kcnq2,Nat1
Kcnq5,Hyal1
Kcns1,Nat8
Kcns2,Ncam1
Kcnt1,Ncan
Kctd15,Nckap5
Kctd16,Spaca6
Kctd8,Nde1
Kdm2b,Ndp
Kdm4a,Ndrg2
Kdm4b,Nebl
Kdm5a,Nek8
Kdm5b,Nexn
Khdc4,Nfxl1
4932438A13Rik,Ngef
Cip2a,Nhsl1
Kif11,Nipal1
Kif17,Nlrx1
Kif21b,Nmb
Kif22,Nme7
Kif4,Notch1
Kif5c,Notch2
Kifc2,Notch3
Kifc5b,Npas2
Kiss1r,Npas3
Kit,Npff
Klc2,Nphp3
Klf12,Nphs1
Klf8,Nphs1os
Klhdc8a,Nps
Klhl1,Nqo1
Klhl12,Nr1d1
Klhl14,Nr2e1
Klhl29,Nr2f1
Klhl33,Nr3c2
Klhl34,Nr4a1
Kmt2a,Nr4a2
Kmt2b,Nr4a3
Krt73,Nrarp
Krt79,Nrbp2
Ksr1,Nrcam
Ksr2,Nrxn1
L1cam,Nsdhl
L3mbtl1,Ntrk3
L3mbtl4,Ntsr2
Lama3,Nudt12
Lancl2,Nudt19
Cers6,Nudt2
Lefty2,Nudt7
Lemd1,Nup62cl
Lgals7,Nup93
Lgi1,Nvl
Lgi2,Nwd1
Lhfpl1,Oat
Lhfpl4,Odf2l
Lhfpl5,Odf3
Lhx1,Tenm3
Lhx5,Olfml1
Lhx6,Olfml2a
Lhx8,Olfr90
Lhx9,Oplah
Lig1,Optc
Limk2,Osr2
Lin28b,Otx1
Lingo2,Ovol1
Lmna,Oxa1l
Lmo3,Oxnad1
Lmtk3,P2rx6
Lmx1a,P4ha2
Lonrf1,P4ha3
Lonrf2,Pabpc4l
Lor,Pacsin3
Lpcat4,Palld
Lpgat1,Pamr1
Adgrl1,Papss2
Plppr3,Paqr4
Plppr4,Paqr6
Lrch2,Paqr7
Pidd1,Paqr8
Lrfn5,Pard3b
Lrig3,Parp12
Carmil3,Parp3
Lrrc24,Parva
Lrrc26,Pax4
Lrrc3b,Pax6
Lrrn4cl,Pbld2
Lsm11,Pbxip1
Lsm14b,pc
Luc7l,Pcdh10
Ly6g6c,Pcdhgb6
Ly6h,Pcdhgc5
Lypd6b,Pcsk9
Lyrm7,Pcx
Mab21l1,Pde1b
Mab21l3,Pde3a
Mad2l1,Pde9a
Madd,Pdgfc
Magee1,Pdgfrb
Magel2,Pdk4
Mal2,Pdlim3
Maml3,Pdlim4
Map3k12,Pdlim5
Map3k15,Pdp2
Map3k4,Pdpn
Map3k9,Pdss1
Map4k3,Pdyn
Map9,Pdzd11
Mapk8,Pdzrn3
Mapk8ip2,Peak1
Mapk9,Per3
Mapt,Pex2
Marchf11,Pfkm
Marchf4,Jade1
9-Mar,Phf21b
Mark1,Phgdh
Mast1,Phka1
Mblac2,Phkb
Mchr1,Phkg1
Mctp1,Phyhipl
Mctp2,Pigm
Mdga1,Pikfyve
Mecp2,Pipox
Med10,Pitpnc1
Med14,Pkd2
Meg3,Pkdrej
Mei4,Pkp2
Meis1,Pla2g3
Mesp1,Pla2g5
Mesp2,Pla2g7
Met,Plagl1
Mex3a,Plcb3
Mex3d,Plcd4
Mgat4c,Plch1
Mgat5,Pld2
Mgst3,Plec
Mia,Pln
Miat,Plod2
Mical2,Pls1
Micu3,Plscr1
Minpp1,Plxnb1
Mirg,Plxnc1
Mki67,Pm20d1
Mkrn3,Pmm1
Mlf1,Poln
Mllt11,Polr3g
Mme,Pomt1
Mmp11,Pon2
Mmp24,Pou2f1
Mn1,Pou3f2
Mnd1,Pou3f4
Moap1,Plpp3
Morc2a,Ppara
Mpped1,Ppfia1
Mpped2,Ppil6
Mrap2,Ppp1r12a
Mrgbp,Ppp1r1a
Msl1,Ppp1r3c
Mst1r,Ppp1r3d
Mstn,Ppp1r3g
Map1b,Ppp2r2b
Map6,Ppp2r3a
Map7d2,Ppp2r5a
Map9,Ppp4r1l-ps
Mtfp1,Ppwd1
Mtss1,Prdm16
Mturn,Prdx6
Mtus2,Prdx6b
Muc6,Prex1
Pwwp3a,Prkd1
Myh8,Prkdc
Myl6b,Proca1
Myo5b,Prodh
Myo9a,Prpf38b
Myt1,Prpf39
Myt1l,Prpf4b
Phf24,Prrc2c
Nanos1,Prrx2
Nanos2,Prss35
Nap1l2,Prss45
Nap1l3,Psd2
Napb,Psph
Nasp,Ptar1
Nbea,Ptch1
Ncapg,Ptch2
Nck2,Ptdss2
